07:46:18.839,1588903,3_092_193_331_640
07:46:30.289,1588903,3_092_193_230_266
07:46:41.945,1588903,3_092_193_128_892
07:46:53.823,1588903,3_092_193_027_518
07:47:05.199,1588903,3_092_192_926_144
07:47:16.876,1588903,3_092_192_824_770
07:47:28.450,1588903,3_092_192_723_396
07:47:40.402,1588903,3_092_192_621_878
07:47:51.802,1588903,3_092_192_520_504
07:48:03.552,1588903,3_092_192_419_130
07:48:15.780,1588903,3_092_192_317_756
07:48:27.883,1588903,3_092_192_216_382
07:48:39.492,1588903,3_092_192_115_008
07:48:51.195,1588903,3_092_192_013_634
07:49:02.910,1588903,3_092_191_912_260
07:49:14.670,1588903,3_092_191_810_742
07:49:26.433,1588903,3_092_191_709_368
07:49:38.409,1588903,3_092_191_607_994
07:49:50.192,1588903,3_092_191_506_620
07:50:01.710,1588903,3_092_191_405_246
07:50:12.893,1588903,3_092_191_303_872
07:50:24.263,1588903,3_092_191_202_498
07:50:35.832,1588903,3_092_191_101_124
07:50:47.572,1588903,3_092_190_999_750
07:50:58.497,1588903,3_092_190_898_232
07:51:10.629,1588903,3_092_190_796_858
07:51:22.351,1588903,3_092_190_695_484
07:51:33.918,1588903,3_092_190_594_110
07:51:45.176,1588903,3_092_190_492_736
07:51:56.795,1588903,3_092_190_391_362
07:52:07.871,1588903,3_092_190_289_988
07:52:19.709,1588903,3_092_190_188_614
07:52:32.257,1588903,3_092_190_087_240
07:52:43.646,1588903,3_092_189_985_722
07:52:54.912,1588903,3_092_189_884_348
07:53:06.478,1588903,3_092_189_782_974
07:53:17.827,1588903,3_092_189_681_600
07:53:29.530,1588903,3_092_189_580_226
07:53:40.964,1588903,3_092_189_478_852
07:53:52.443,1588903,3_092_189_377_478
07:54:04.413,1588903,3_092_189_276_104
07:54:16.892,1588903,3_092_189_174_730
07:54:28.107,1588903,3_092_189_073_212
07:54:39.263,1588903,3_092_188_971_838
07:54:50.752,1588903,3_092_188_870_464
07:55:02.282,1588903,3_092_188_769_090
07:55:13.875,1588903,3_092_188_667_716
07:55:25.415,1588903,3_092_188_566_342
07:55:37.042,1588903,3_092_188_464_968
07:55:48.266,1588903,3_092_188_363_594
07:55:59.773,1588903,3_092_188_262_220
07:56:10.940,1588903,3_092_188_160_846
07:56:22.205,1588903,3_092_188_059_472
07:56:33.996,1588903,3_092_187_957_954
07:56:46.320,1588903,3_092_187_856_580
07:56:57.655,1588903,3_092_187_755_206
07:57:08.880,1588903,3_092_187_653_832
07:57:20.667,1588903,3_092_187_552_458
07:57:31.838,1588903,3_092_187_451_084
07:57:42.843,1588903,3_092_187_349_710
07:57:55.134,1588903,3_092_187_248_336
07:58:06.810,1588903,3_092_187_146_818
07:58:17.819,1588903,3_092_187_045_444
07:58:29.502,1588903,3_092_186_944_070
07:58:40.948,1588903,3_092_186_842_696
07:58:52.205,1588903,3_092_186_741_322
07:59:04.434,1588903,3_092_186_639_948
07:59:16.450,1588903,3_092_186_538_574
07:59:28.022,1588903,3_092_186_437_200
07:59:39.865,1588903,3_092_186_335_826
07:59:51.817,1588903,3_092_186_234_308
08:00:03.180,1588903,3_092_186_132_934
08:00:15.670,1588903,3_092_186_031_560
08:00:27.067,1588903,3_092_185_930_186
08:00:38.080,1588903,3_092_185_828_812
08:00:49.849,1588903,3_092_185_727_438
08:01:01.357,1588903,3_092_185_626_064
08:01:13.162,1588903,3_092_185_524_546
08:01:24.352,1588903,3_092_185_423_172
08:01:35.980,1588903,3_092_185_321_798
08:01:47.591,1588903,3_092_185_220_424
08:01:59.283,1588903,3_092_185_119_050
08:02:11.112,1588903,3_092_185_017_676
08:02:22.552,1588903,3_092_184_916_302
08:02:33.598,1588903,3_092_184_814_928
08:02:44.523,1588903,3_092_184_713_410
08:02:56.057,1588903,3_092_184_612_036
08:03:08.198,1588903,3_092_184_510_662
08:03:20.419,1588903,3_092_184_409_288
08:03:32.141,1588903,3_092_184_307_914
